TransactionID,Date,Transaction_Amount,Sales_Category,Store,Expense By Category,Revenue By Category
1,8/27/2021,34.11,Grocery,Store A,-250,3000
2,8/28/2021,9.66,Furniture,Store B,-700,2000
3,8/29/2021,58.96,Sanitary,Store C,-600,1050
4,8/30/2021,181.59,Kitchen,Store A,-400,1400
5,8/31/2021,246.1,Automobile,Store C,-2500,4000
6,9/1/2021,314.72,Cleaning,Store B,-200,900
7,9/2/2021,-100,Grocery,Store A,-250,3000
8,9/3/2021,-150,Furniture,Store B,-700,2000
9,9/4/2021,-20,Sanitary,Store C,-600,1050
10,9/5/2021,-30,Kitchen,Store A,-400,1400
11,9/6/2021,100,Automobile,Store C,-2500,4000
12,9/7/2021,200,Cleaning,Store B,-200,900
13,9/8/2021,35,Grocery,Store A,-250,3000
14,9/9/2021,-200,Furniture,Store B,-700,2000
15,9/10/2021,-120,Sanitary,Store C,-600,1050
16,9/11/2021,-80,Kitchen,Store A,-400,1400
17,9/12/2021,34.11,Automobile,Store C,-2500,4000
18,9/13/2021,9.66,Cleaning,Store B,-200,900
19,9/14/2021,58.96,Grocery,Store A,-250,3000
20,9/15/2021,181.59,Furniture,Store B,-700,2000
21,9/16/2021,246.1,Sanitary,Store C,-600,1050
22,9/17/2021,314.72,Kitchen,Store A,-400,1400
23,9/18/2021,-100,Automobile,Store C,-2500,4000
24,9/19/2021,-150,Cleaning,Store B,-200,900
25,9/20/2021,-20,Grocery,Store A,-250,3000
26,9/21/2021,-30,Furniture,Store B,-700,2000
27,9/22/2021,100,Sanitary,Store C,-600,1050
28,9/23/2021,200,Kitchen,Store A,-400,1400
29,9/24/2021,35,Automobile,Store C,-2500,4000
30,9/25/2021,-200,Cleaning,Store B,-200,900
31,9/26/2021,-120,Grocery,Store A,-250,3000
32,9/27/2021,-80,Furniture,Store B,-700,2000
33,9/28/2021,34.11,Sanitary,Store C,-600,1050
34,9/29/2021,9.66,Kitchen,Store A,-400,1400
35,9/30/2021,58.96,Automobile,Store C,-2500,4000
36,10/1/2021,181.59,Cleaning,Store B,-200,900
37,10/2/2021,246.1,Grocery,Store A,-250,3000
38,10/3/2021,314.72,Furniture,Store B,-700,2000
39,10/4/2021,-100,Sanitary,Store C,-600,1050
40,10/5/2021,-150,Kitchen,Store A,-400,1400
41,10/6/2021,-20,Automobile,Store C,-2500,4000
42,10/7/2021,-30,Cleaning,Store B,-200,900
43,10/8/2021,100,Grocery,Store A,-250,3000
44,10/9/2021,200,Furniture,Store B,-700,2000
45,10/10/2021,35,Sanitary,Store C,-600,1050
46,10/11/2021,-200,Kitchen,Store A,-400,1400
47,10/12/2021,-120,Automobile,Store C,-2500,4000
48,10/13/2021,-80,Cleaning,Store B,-200,900
49,10/14/2021,34.11,Grocery,Store A,-250,3000
50,10/15/2021,9.66,Furniture,Store B,-700,2000
51,10/16/2021,58.96,Sanitary,Store C,-600,1050
52,10/17/2021,181.59,Kitchen,Store A,-400,1400
53,10/18/2021,246.1,Automobile,Store C,-2500,4000
54,10/19/2021,314.72,Cleaning,Store B,-200,900
55,10/20/2021,-100,Grocery,Store A,-250,3000
56,10/21/2021,-150,Furniture,Store B,-700,2000
57,10/22/2021,-20,Sanitary,Store C,-600,1050
58,10/23/2021,-30,Kitchen,Store A,-400,1400
59,10/24/2021,100,Automobile,Store C,-2500,4000
60,10/25/2021,200,Cleaning,Store B,-200,900
61,10/26/2021,35,Grocery,Store A,-250,3000
62,10/27/2021,-200,Furniture,Store B,-700,2000
63,10/28/2021,-120,Sanitary,Store C,-600,1050
64,10/29/2021,-80,Kitchen,Store A,-400,1400
65,10/30/2021,34.11,Automobile,Store C,-2500,4000
66,10/31/2021,9.66,Cleaning,Store B,-200,900
67,11/1/2021,58.96,Grocery,Store A,-250,3000
68,11/2/2021,181.59,Furniture,Store B,-700,2000
69,11/3/2021,246.1,Sanitary,Store C,-600,1050
70,11/4/2021,314.72,Kitchen,Store A,-400,1400
71,11/5/2021,-100,Automobile,Store C,-2500,4000
72,11/6/2021,-150,Cleaning,Store B,-200,900
73,11/7/2021,-20,Grocery,Store A,-250,3000
74,11/8/2021,-30,Furniture,Store B,-700,2000
75,11/9/2021,100,Sanitary,Store C,-600,1050
76,11/10/2021,200,Kitchen,Store A,-400,1400
77,11/11/2021,35,Automobile,Store C,-2500,4000
78,11/12/2021,-200,Cleaning,Store B,-200,900
79,11/13/2021,-120,Grocery,Store A,-250,3000
80,11/14/2021,-80,Furniture,Store B,-700,2000
81,11/15/2021,34.11,Sanitary,Store C,-600,1050
82,11/16/2021,9.66,Kitchen,Store A,-400,1400
83,11/17/2021,58.96,Automobile,Store C,-2500,4000
84,11/18/2021,181.59,Cleaning,Store B,-200,900
85,11/19/2021,246.1,Grocery,Store A,-250,3000
86,11/20/2021,314.72,Furniture,Store B,-700,2000
87,11/21/2021,-100,Sanitary,Store C,-600,1050
88,11/22/2021,-150,Kitchen,Store A,-400,1400
89,11/23/2021,-20,Automobile,Store C,-2500,4000
90,11/24/2021,-30,Cleaning,Store B,-200,900
91,11/25/2021,100,Grocery,Store A,-250,3000
92,11/26/2021,200,Furniture,Store B,-700,2000
93,11/27/2021,35,Sanitary,Store C,-600,1050
94,11/28/2021,-200,Kitchen,Store A,-400,1400
95,11/29/2021,-120,Automobile,Store C,-2500,4000
96,11/30/2021,-80,Cleaning,Store B,-200,900
97,12/1/2021,34.11,Grocery,Store A,-250,3000
98,12/2/2021,9.66,Furniture,Store B,-700,2000
99,12/3/2021,58.96,Sanitary,Store C,-600,1050
100,12/4/2021,181.59,Kitchen,Store A,-400,1400
101,12/5/2021,246.1,Automobile,Store C,-2500,4000
102,12/6/2021,314.72,Cleaning,Store B,-200,900
103,12/7/2021,-100,Grocery,Store A,-250,3000
104,12/8/2021,-150,Furniture,Store B,-700,2000
105,12/9/2021,-20,Sanitary,Store C,-600,1050
106,12/10/2021,-30,Kitchen,Store A,-400,1400
107,12/11/2021,100,Automobile,Store C,-2500,4000
108,12/12/2021,200,Cleaning,Store B,-200,900
109,12/13/2021,35,Grocery,Store A,-250,3000
110,12/14/2021,-200,Furniture,Store B,-700,2000
111,12/15/2021,-120,Sanitary,Store C,-600,1050
112,12/16/2021,-80,Kitchen,Store A,-400,1400
113,12/17/2021,34.11,Automobile,Store C,-2500,4000
114,12/18/2021,9.66,Cleaning,Store B,-200,900
115,12/19/2021,58.96,Grocery,Store A,-250,3000
116,12/20/2021,181.59,Furniture,Store B,-700,2000
117,12/21/2021,246.1,Sanitary,Store C,-600,1050
118,12/22/2021,314.72,Kitchen,Store A,-400,1400
119,12/23/2021,-100,Automobile,Store C,-2500,4000
120,12/24/2021,-150,Cleaning,Store B,-200,900
121,12/25/2021,-20,Grocery,Store A,-250,3000
122,12/26/2021,-30,Furniture,Store B,-700,2000
123,12/27/2021,100,Sanitary,Store C,-600,1050
124,12/28/2021,200,Kitchen,Store A,-400,1400
125,12/29/2021,35,Automobile,Store C,-2500,4000
126,12/30/2021,-200,Cleaning,Store B,-200,900
127,12/31/2021,-120,Grocery,Store A,-250,3000
128,1/1/2022,-80,Furniture,Store B,-700,2000
129,1/2/2022,34.11,Sanitary,Store C,-600,1050
130,1/3/2022,9.66,Kitchen,Store A,-400,1400
131,1/4/2022,58.96,Automobile,Store C,-2500,4000
132,1/5/2022,181.59,Cleaning,Store B,-200,900
133,1/6/2022,246.1,Grocery,Store A,-250,3000
134,1/7/2022,314.72,Furniture,Store B,-700,2000
135,1/8/2022,-100,Sanitary,Store C,-600,1050
136,1/9/2022,-150,Kitchen,Store A,-400,1400
137,1/10/2022,-20,Automobile,Store C,-2500,4000
138,1/11/2022,-30,Cleaning,Store B,-200,900
139,1/12/2022,100,Grocery,Store A,-250,3000
140,1/13/2022,200,Furniture,Store B,-700,2000
141,1/14/2022,35,Sanitary,Store C,-600,1050
142,1/15/2022,-200,Kitchen,Store A,-400,1400
143,1/16/2022,-120,Automobile,Store C,-2500,4000
144,1/17/2022,-80,Cleaning,Store B,-200,900
145,1/18/2022,34.11,Grocery,Store A,-250,3000
146,1/19/2022,9.66,Furniture,Store B,-700,2000
147,1/20/2022,58.96,Sanitary,Store C,-600,1050
148,1/21/2022,181.59,Kitchen,Store A,-400,1400
149,1/22/2022,246.1,Automobile,Store C,-2500,4000
150,1/23/2022,314.72,Cleaning,Store B,-200,900
151,1/24/2022,-100,Grocery,Store A,-250,3000
152,1/25/2022,-150,Furniture,Store B,-700,2000
153,1/26/2022,-20,Sanitary,Store C,-600,1050
154,1/27/2022,-30,Kitchen,Store A,-400,1400
155,1/28/2022,100,Automobile,Store C,-2500,4000
